date;class;focuses;uf
2025/01;Fogo em áreas de desmatamento consolidado;51;SÃO PAULO
2025/01;Fogo em áreas de desmatamento recente;2;SÃO PAULO
2025/02;Fogo em áreas de desmatamento consolidado;48;SÃO PAULO
2025/03;Fogo em áreas de desmatamento consolidado;26;SÃO PAULO
2025/04;Fogo em áreas de desmatamento consolidado;13;SÃO PAULO
2025/05;Fogo em áreas de desmatamento consolidado;36;SÃO PAULO
2025/05;Fogo em áreas de desmatamento recente;4;SÃO PAULO
2025/06;Fogo em áreas de desmatamento consolidado;20;SÃO PAULO
2024/06;Fogo em áreas de desmatamento consolidado;447;SÃO PAULO
2024/06;Fogo em áreas de desmatamento recente;6;SÃO PAULO
2024/06;Fogo em áreas de vegetação nativa;6;SÃO PAULO
2024/07;Fogo em áreas de desmatamento consolidado;407;SÃO PAULO
2024/07;Fogo em áreas de desmatamento recente;12;SÃO PAULO
2024/08;Fogo em áreas de desmatamento consolidado;2814;SÃO PAULO
2024/08;Fogo em áreas de desmatamento recente;26;SÃO PAULO
2024/08;Fogo em áreas de vegetação nativa;12;SÃO PAULO
2024/09;Fogo em áreas de desmatamento consolidado;2102;SÃO PAULO
2024/09;Fogo em áreas de desmatamento recente;28;SÃO PAULO
2024/09;Fogo em áreas de vegetação nativa;24;SÃO PAULO
2024/10;Fogo em áreas de desmatamento consolidado;551;SÃO PAULO
2024/10;Fogo em áreas de desmatamento recente;4;SÃO PAULO
2024/10;Fogo em áreas de vegetação nativa;6;SÃO PAULO
2024/11;Fogo em áreas de desmatamento consolidado;22;SÃO PAULO
2024/11;Fogo em áreas de desmatamento recente;1;SÃO PAULO
2024/12;Fogo em áreas de desmatamento consolidado;30;SÃO PAULO
2024/12;Fogo em áreas de desmatamento recente;1;SÃO PAULO
2024/12;Fogo em áreas de vegetação nativa;2;SÃO PAULO
2025/01;Fogo em áreas de desmatamento recente;6;SERGIPE
2025/02;Fogo em áreas de desmatamento consolidado;4;SERGIPE
2025/02;Fogo em áreas de desmatamento recente;1;SERGIPE
2025/03;Fogo em áreas de desmatamento consolidado;6;SERGIPE
2025/04;Fogo em áreas de desmatamento consolidado;25;SERGIPE
2025/04;Fogo em áreas de desmatamento recente;1;SERGIPE
2025/05;Fogo em áreas de desmatamento consolidado;5;SERGIPE
2024/09;Fogo em áreas de desmatamento consolidado;6;SERGIPE
2024/10;Fogo em áreas de desmatamento consolidado;13;SERGIPE
2024/11;Fogo em áreas de desmatamento consolidado;20;SERGIPE
2024/12;Fogo em áreas de desmatamento consolidado;38;SERGIPE
2025/01;Fogo em áreas de desmatamento consolidado;16;SERGIPE
2024/08;Fogo em áreas de vegetação nativa;117;SANTA CATARINA
2025/02;Fogo em áreas de desmatamento consolidado;40;SANTA CATARINA
2025/05;Fogo em áreas de desmatamento consolidado;120;SANTA CATARINA
2024/12;Fogo em áreas de desmatamento consolidado;19;SANTA CATARINA
2024/09;Fogo em áreas de desmatamento consolidado;286;SANTA CATARINA
2024/08;Fogo em áreas de desmatamento recente;68;SANTA CATARINA
2025/01;Fogo em áreas de desmatamento recente;2;SANTA CATARINA
2025/05;Fogo em áreas de desmatamento recente;12;SANTA CATARINA
2025/02;Fogo em áreas de desmatamento recente;1;SANTA CATARINA
2024/11;Fogo em áreas de desmatamento recente;4;SANTA CATARINA
2024/08;Fogo em áreas de desmatamento consolidado;542;SANTA CATARINA
2024/09;Fogo em áreas de desmatamento recente;33;SANTA CATARINA
2025/03;Fogo em áreas de desmatamento recente;9;SANTA CATARINA
2024/07;Fogo em áreas de vegetação nativa;30;SANTA CATARINA
2025/01;Fogo em áreas de desmatamento consolidado;73;SANTA CATARINA
2024/09;Fogo em áreas de vegetação nativa;28;SANTA CATARINA
2024/11;Fogo em áreas de desmatamento consolidado;25;SANTA CATARINA
2024/10;Fogo em áreas de desmatamento recente;14;SANTA CATARINA
2025/04;Fogo em áreas de desmatamento consolidado;58;SANTA CATARINA
2025/06;Fogo em áreas de desmatamento consolidado;16;SANTA CATARINA
2024/07;Fogo em áreas de desmatamento recente;30;SANTA CATARINA
2024/06;Fogo em áreas de desmatamento consolidado;118;SANTA CATARINA
2024/10;Fogo em áreas de desmatamento consolidado;81;SANTA CATARINA
