date;class;focuses;uf
2025/06;Fogo em áreas de desmatamento consolidado;5;TOCANTINS
2025/01;Fogo em áreas de desmatamento consolidado;4;TOCANTINS
2025/03;Fogo em áreas de desmatamento consolidado;2;TOCANTINS
2025/04;Fogo em áreas de desmatamento consolidado;1;TOCANTINS
2025/04;Fogo em áreas de desmatamento recente;2;TOCANTINS
2025/05;Fogo em áreas de desmatamento consolidado;16;TOCANTINS
2024/09;Fogo em áreas de desmatamento consolidado;304;TOCANTINS
2024/09;Fogo em áreas de desmatamento recente;33;TOCANTINS
2024/06;Fogo em áreas de desmatamento consolidado;16;TOCANTINS
2024/07;Fogo em áreas de desmatamento consolidado;47;TOCANTINS
2024/07;Fogo em áreas de desmatamento recente;3;TOCANTINS
2024/12;Fogo em áreas de desmatamento recente;1;TOCANTINS
2024/12;Fogo em áreas de desmatamento consolidado;14;TOCANTINS
2024/08;Fogo em áreas de desmatamento consolidado;135;TOCANTINS
2024/11;Fogo em áreas de desmatamento recente;8;TOCANTINS
2024/11;Fogo em áreas de desmatamento consolidado;64;TOCANTINS
2024/10;Fogo em áreas de vegetação nativa;1;TOCANTINS
2024/08;Fogo em áreas de desmatamento recente;14;TOCANTINS
2024/10;Fogo em áreas de desmatamento recente;9;TOCANTINS
2024/10;Fogo em áreas de desmatamento consolidado;65;TOCANTINS
2024/08;Fogo em áreas de vegetação nativa;5;TOCANTINS
2024/09;Fogo em áreas de vegetação nativa;28;TOCANTINS
2025/02;Fogo em áreas de vegetação nativa;33;RORAIMA
2024/09;Fogo em áreas de desmatamento recente;33;RORAIMA
2024/09;Fogo em áreas de vegetação nativa;28;RORAIMA
2025/01;Fogo em áreas de desmatamento consolidado;69;RORAIMA
2024/10;Fogo em áreas de desmatamento consolidado;27;RORAIMA
2024/08;Fogo em áreas de vegetação nativa;10;RORAIMA
2024/10;Fogo em áreas de desmatamento recente;29;RORAIMA
2024/10;Fogo em áreas de vegetação nativa;66;RORAIMA
2024/08;Fogo em áreas de desmatamento recente;12;RORAIMA
2025/01;Fogo em áreas de desmatamento recente;112;RORAIMA
2024/11;Fogo em áreas de desmatamento consolidado;42;RORAIMA
2024/11;Fogo em áreas de desmatamento recente;62;RORAIMA
